sample_id,mq2_raw
476,3603
477,3578
478,3561
479,3543
480,3525
481,3497
482,3477
483,3457
484,3426
485,3393
486,3371
487,3348
488,3325
489,3301
490,3289
491,3252
492,3226
493,3200
494,3173
495,3146
496,3104
497,3132
498,3146
499,3187
500,3226
501,3252
502,3289
503,3313
504,3337
505,3360
506,3393
507,3415
508,3447
509,3477
510,3497
511,3516
512,3543
513,3570
514,3587
515,3595
516,3619
517,3643
518,3658
519,3672
520,3693
521,3707
522,3720
523,3707
524,3693
525,3672
526,3658
527,3643
528,3619
529,3603
530,3587
531,3561
532,3543
533,3516
534,3497
535,3467
536,3447
537,3415
538,3382
539,3360
540,3325
541,3301
542,3277
543,3264
544,3252
545,3289
546,3313
547,3348
548,3371
549,3393
550,3426
551,3447
552,3477
553,3497
554,3506
555,3516
556,3525
557,3525
558,3543
559,3561
560,3578
561,3603
562,3619
563,3627
564,3650
565,3658
566,3650
567,3627
568,3611
569,3595
570,3570
571,3552
572,3534
573,3506
574,3487
575,3457
576,3436
577,3404
578,3382
579,3360
580,3337
581,3313
582,3289
583,3264
584,3289
585,3313
586,3348
587,3371
588,3393
589,3415
590,3447
591,3467
592,3497
593,3497
594,3467
595,3457
596,3337
597,3146
598,3160
599,3264
600,3426
601,3487
602,3487
603,3487
604,3487
605,3984
606,4038
607,4041
608,4041
609,4041
610,4041
611,4041
612,4041
613,4041
614,4041
615,4041
616,4040
617,4040
618,4040
619,4038
620,4038
621,4036
622,4035
623,4032
624,4029
625,4027
626,4026
627,4022
628,4019
629,4015
630,4011
631,4006
632,4002
633,3997
634,3992
635,3986
636,3982
637,3982
638,3982
639,3980
640,3973
641,3973
642,3975
643,3977
644,3980
645,3982
646,3982
647,3984
648,3986
649,3988
650,3990
651,3992
652,3993
653,3995
654,3999
655,4001
656,4002
657,4004
658,4006
659,4007
660,4009
661,4012
662,4014
663,4014
664,4012
665,4012
666,4009
667,4007
668,4006
669,4004
670,4002
671,4001
672,3999
673,3997
674,3995
675,3993
676,3992
677,3988
678,3986
679,3984
680,3982
681,3982
682,3986
683,3988
684,3992
685,3993
686,3995
687,3999
688,4001
689,4002
