sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
247,102618,369.14,0.00,0.00,0.00,369.56,0
248,102942,369.14,0.00,0.00,0.00,369.35,0
249,103266,369.14,0.00,0.00,0.00,369.14,0
250,103590,368.19,-0.94,0.94,-2.91,368.95,0
251,103915,366.19,-2.01,2.01,-6.17,368.36,0
252,104239,365.14,-1.05,1.05,-3.23,367.56,0
253,104563,365.14,0.00,0.00,0.00,366.76,0
254,104887,364.08,-1.06,1.06,-3.28,365.75,0
255,105211,363.13,-0.94,0.94,-2.91,364.74,0
256,105535,362.07,-1.06,1.06,-3.28,363.91,0
257,105859,361.13,-0.94,0.94,-2.91,363.11,0
258,106183,361.13,0.00,0.00,0.00,362.31,0
259,106507,361.13,0.00,0.00,0.00,361.72,0
260,106831,361.13,0.00,0.00,0.00,361.32,0
261,107155,361.13,0.00,0.00,0.00,361.13,0
262,107479,361.13,0.00,0.00,0.00,361.13,0
263,107803,361.13,0.00,0.00,0.00,361.13,0
264,108127,360.06,-1.06,1.06,-3.28,360.91,0
265,108451,360.06,0.00,0.00,0.00,360.70,0
266,108775,360.06,0.00,0.00,0.00,360.49,0
267,109099,360.06,0.00,0.00,0.00,360.28,0
268,109423,360.06,0.00,0.00,0.00,360.06,0
269,109747,360.06,0.00,0.00,0.00,360.06,0
270,110071,360.06,0.00,0.00,0.00,360.06,0
271,110395,360.06,0.00,0.00,0.00,360.06,0
272,110719,360.06,0.00,0.00,0.00,360.06,0
273,111043,360.06,0.00,0.00,0.00,360.06,0
274,111367,360.06,0.00,0.00,0.00,360.06,0
275,111691,359.12,-0.94,0.94,-2.91,359.88,0
276,112015,359.12,0.00,0.00,0.00,359.69,0
277,112339,359.12,0.00,0.00,0.00,359.50,0
278,112663,359.12,0.00,0.00,0.00,359.31,0
279,112987,359.12,0.00,0.00,0.00,359.12,0
280,113311,358.06,-1.06,1.06,-3.28,358.91,0
281,113635,358.06,0.00,0.00,0.00,358.70,0
282,113959,358.06,0.00,0.00,0.00,358.48,0
283,114283,358.06,0.00,0.00,0.00,358.27,0
284,114607,358.06,0.00,0.00,0.00,358.06,0
285,114931,358.06,0.00,0.00,0.00,358.06,0
286,115255,357.11,-0.94,0.94,-2.91,357.87,0
287,115579,357.11,0.00,0.00,0.00,357.68,0
288,115903,357.11,0.00,0.00,0.00,357.49,0
289,116227,357.11,0.00,0.00,0.00,357.30,0
290,116551,357.11,0.00,0.00,0.00,357.11,0
291,116875,357.11,0.00,0.00,0.00,357.11,0
