sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1242.0,414742.0,55.48,0.0,0.0,0.0,56.26,0
1899.0,615388.0,28.25,0.0,0.0,0.0,27.61,1
940.0,321395.0,106.86,0.0,0.0,0.0,106.27,0
3334.0,1061077.0,100.84,-0.94,0.94,-3.05,101.81,0
2718.0,869207.0,185.61,0.0,0.0,0.0,185.19,0
2170.0,699040.0,117.01,-14.11,14.11,-45.38,149.68,0
153.0,72030.0,398.36,0.0,0.0,0.0,398.36,0
3370.0,1072178.0,81.63,0.0,0.0,0.0,82.46,0
1135.0,381770.0,106.86,0.0,0.0,0.0,107.5,0
1903.0,616608.0,29.19,0.0,0.0,0.0,28.81,1
1681.0,549051.0,33.2,0.0,0.0,0.0,33.01,1
703.0,247545.0,188.56,0.0,0.0,0.0,188.56,0
1009.0,342754.0,119.02,0.0,0.0,0.0,119.4,0
2751.0,879570.0,198.7,0.0,0.0,0.0,197.87,0
2361.0,757830.0,194.69,0.0,0.0,0.0,133.72,0
1779.0,578904.0,25.19,-0.94,0.94,-3.1,25.95,1
707.0,248801.0,187.62,0.0,0.0,0.0,188.0,0
2821.0,901574.0,175.48,0.0,0.0,0.0,176.49,0
2268.0,729057.0,198.7,7.08,7.08,22.56,193.03,0
1943.0,628808.0,31.2,0.0,0.0,0.0,30.63,1
2675.0,855739.0,166.41,0.94,0.94,3.01,164.59,0
1002.0,340584.0,119.96,0.0,0.0,0.0,119.78,0
1686.0,550576.0,35.33,1.06,1.06,3.49,34.27,1
1916.0,620573.0,29.19,0.0,0.0,0.0,29.19,1
1914.0,619963.0,29.19,0.0,0.0,0.0,29.61,1
2438.0,782003.0,173.47,-1.06,1.06,-3.4,175.5,0
2797.0,894045.0,189.63,-0.94,0.94,-3.0,190.8,0
2420.0,776356.0,190.57,-1.05,1.05,-3.33,192.64,0
1712.0,558506.0,30.25,-0.94,0.94,-3.09,31.22,1
2066.0,666804.0,84.7,-25.23,25.23,-81.38,148.45,1
2861.0,914075.0,149.31,-0.94,0.94,-3.02,150.68,0
195.0,85722.0,388.34,0.0,0.0,0.0,388.72,0
253.0,104563.0,365.14,0.0,0.0,0.0,366.76,0
1689.0,551491.0,35.33,0.0,0.0,0.0,35.12,1
1946.0,629723.0,33.2,0.0,0.0,0.0,32.21,1
2816.0,900009.0,178.55,0.0,0.0,0.0,179.33,0
1912.0,619353.0,29.19,-1.06,1.06,-3.49,30.04,1
551.0,199822.0,190.57,-2.11,2.11,-6.72,194.24,0
1075.0,363214.0,117.01,-0.94,0.94,-3.04,117.77,0
2817.0,900322.0,177.49,-1.06,1.06,-3.4,178.71,0
2065.0,666494.0,109.93,-32.29,32.29,-103.84,172.05,1
934.0,319541.0,103.91,1.06,1.06,3.44,102.42,0
